Accessed on Sun Sep 11 2016 03:58:50 GMT-0700 (PDT)
 
×

1618 Owners Of Brain
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Pas	A-	11×	96/96	  GET
 Jorge Medrano	A+	8×	96/96	  GET
 David Poulton	A+	5×	96/96	  GET
 Roberto Rodriguez	F	2×	50/96	  GET
 Viebke Cole	F	3×	38/96	  GET
 galliard von Sillein	A-	5×	96/96	  GET
 Caro Zanoria	D	7×	95/96	  GET
 K Berk	A+	3×	78/96	  GET
 Joe K	A+	7×	96/96	  GET
 Hubertbruce01	C-	2×	6/96	  GET
 Dreamingisfr33	A+	2×	59/96	  GET
 Cee Cee	B+	3×	96/96	  GET
 Wenzhu Wei	F	2×	91/96	  GET
 Radovan Webdesigner	F	2×	54/96	  GET
 Josh Parrish	A+	5×	96/96	  GET
 Ross Quigley	A+	16×	96/96	  GET
 Barkerposey	F+	3×	84/96	  GET
 Happy The Dog	D+	3×	94/96	  GET
 Gwen Brinsmead	A-	5×	96/96	  GET
 Karmakit	C-	3×	85/96	  GET
 Jnucreative Nuñez	D-	3×	91/96	  GET
 Victor Ware	C+	5×	93/96	  GET
 Wintersnowman12345	C-	2×	82/96	  GET
 Elaine.maciel.silva	F+	2×	23/96	  GET
 Hazim Sami	A	6×	96/96	  GET
 Vincent Hyde	A+	3×	96/96	  GET
 Ryanjmack	A+	2×	96/96	  GET
 Hihello2u	C-	2×	54/96	  GET
 Shaii Tisaluna	D+	2×	62/96	  GET
 Alice	D	3×	90/96	  GET
 Fox Solo	F+	8×	94/96	  GET
 Lillian F.	A+	2×	96/96	  GET
 Daniel Vazquez	D+	2×	62/96	  GET
 garry	A+	3×	96/96	  GET
 Bella Balucz	B+	2×	74/96	  GET
 Jerica Kelly	A+	4×	96/96	  GET
 Jonathan Tommerup	C	3×	96/96	  GET
 Julie Nisbet	A	6×	96/96	  GET
 Sherri says BOO-URNS, NeonMob, BOO-URNS.	A+	4×	96/96	  GET
 Elizabeth Barnes	A+	4×	94/96	  GET
 Julia Candalisa	F+	3×	95/96	  GET
 Rebecca Pavlik	F	6×	95/96	  GET
