Accessed on Sun Sep 11 2016 04:43:17 GMT-0700 (PDT)
 
×

1395 Owners Of As Big as Mountains
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Papercrafter01	C-	2×	5/96	  GET
 Kaiser White	C+	2×	89/96	  GET
 Cesar Tellez	B-	6×	93/96	  GET
 Catalin Boroi	F	2×	44/96	  GET
 Jordan Batch	B+	10×	96/96	  GET
 Smitty	A+	3×	96/96	  GET
 Jorge Medrano	A+	3×	96/96	  GET
 Frombiefan	F	3×	85/96	  GET
 Emily Krafft	F+	2×	61/96	  GET
 Nick Thomas	D+	2×	96/96	  GET
 Stevo FC	B+	3×	92/96	  GET
 Iri Vincent	F	5×	91/96	  GET
 ChanChi Ong	F	3×	96/96	  GET
 Ariel Espiritu Santo	A	2×	96/96	  GET
 OohLalaKimmeh	A+	3×	88/96	  GET
 Erodriguez08512	D+	2×	92/96	  GET
 Cory O'Brien	A+	2×	92/96	  GET
 Raquel Román Parrado	A+	3×	96/96	  GET
 George S.	F	2×	60/96	  GET
 amelie	F+	4×	95/96	  GET
 Nakimushichan	C-	2×	7/96	  GET
 Misa Steinmetz	D-	2×	34/96	  GET
 Dario Ortiz Puerto	C+	3×	64/96	  GET
 Alice Zombie	C+	3×	86/96	  GET
 Chris J. Davis	D+	2×	93/96	  GET
 Janina Raymundo	C-	3×	96/96	  GET
 garry	A+	4×	96/96	  GET
 Mallory Molina	C+	2×	71/96	  GET
 Naomi Thompson	B	2×	96/96	  GET
 Sarah J.	F	3×	91/96	  GET
 Kat Christensen	A+	3×	96/96	  GET
 Xenass	C	6×	94/96	  GET
 blue caped	A	3×	96/96	  GET
 Lee Heng Kok	C+	3×	75/96	  GET
 Karin	B	2×	26/96	  GET
 Gustav Wedholm	A+	3×	83/96	  GET
 ana_i	A	2×	93/96	  GET
 Charlotta	A+	2×	84/96	  GET
 Hextoast	C-	2×	8/96	  GET
 Elka	D	2×	96/96	  GET
 Emi	A+	3×	96/96	  GET
 J K	A+	4×	96/96	  GET
 Jv1c3	A+	3×	92/96	  GET
 David Faulkner	A+	2×	91/96	  GET
 Luscius Aregon	D+	5×	87/96	  GET
 Metukika	A	2×	96/96	  GET
 Willis Dell	A+	2×	96/96	  GET
 Dean Robinson	A+	2×	91/96	  GET
 Netschketsch	C-	5×	83/96	  GET
 Erodriguez	C-	4×	89/96	  GET
 Riza Selcuk Saydam	A+	2×	95/96	  GET
 Noriko Kakihara	A+	2×	96/96	  GET
 Ayesh Adil	C	3×	96/96	  GET
 Ben Mac	D-	2×	41/96	  GET
 John Cline	A+	3×	96/96	  GET
 Garan Rodgers	A+	5×	96/96	  GET
 Chaotic Sleepyhead	D-	4×	96/96	  GET
 AtTheMan	A+	2×	96/96	  GET
 Stes	D	4×	76/96	  GET
 Emilian Manolache	D	2×	86/96	  GET
 MK	A	4×	96/96	  GET
 Krenek Lopata	F	3×	83/96	  GET
 Jarjake	B	2×	96/96	  GET
 Anabelle Michelle	C	4×	86/96	  GET
 Doodles (Del) Castoni	A+	4×	96/96	  GET
 Lucie Ling	F	8×	96/96	  GET
 Naj Newcot	B	6×	96/96	  GET
 John Fee	F	5×	96/96	  GET
 E A	D	4×	96/96	  GET
 Alexander Trigo Faundez	D+	2×	93/96	  GET
 Bonnie Nguyen	F	2×	89/96	  GET
 Delaney Shea	C	4×	81/96	  GET
 Macarooni	D+	3×	64/96	  GET
 BlackOrchid	A+	2×	95/96	  GET
 Paulina Passi	B-	2×	96/96	  GET
 Louis Gale	A+	3×	95/96	  GET
 Stamex	B-	2×	59/96	  GET
 Prophetwiki	B-	2×	87/96	  GET
 Stuart Deck	F	2×	96/96	  GET
 Sergio A. Molina	F	5×	95/96	  GET
 Carrie Myers	A	4×	93/96	  GET
 J P	F	6×	96/96	  GET
