Accessed on Thu Sep 15 2016 00:33:57 GMT-0700 (PDT)
 
×

555 Owners Of Ya'tuu, The Soul Hoarder
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 Virginia "Magnolia" Pratcher and the MissOldNeonmob Hallows	A+	3×	48/53	  GET
 Carlos Wijaya	A+	2×	41/53	  GET
 Han5h0tf1r5t	F	2×	32/53	  GET
 Arkvenium	A	2×	48/53	  GET
 Chained Nightmare	A+	2×	52/53	  GET
 Callum Corno	B	2×	5/53	  GET
 David Tapia	C	2×	44/53	  GET
 Andrei Cristian Petrilă	A+	2×	49/53	  GET
 Laura	A-	2×	36/53	  GET
 Maria Stacy	A+	2×	42/53	  GET
 Ruemoon	A+	2×	46/53	  GET
 Jimtodd	A+	2×	43/53	  GET
 jakemacneil	A+	2×	44/53	  GET
 ERayque	A+	2×	40/53	  GET
 Sean Burdick	A	2×	39/53	  GET
 Itatly	A+	2×	39/53	  GET
 hching	A+	2×	46/53	  GET
 Serveothers	A+	2×	43/53	  GET
 Bogdan Trachev	A+	2×	49/53	  GET
 Dane Atticus Parker	B+	2×	33/53	  GET
 Luciano Santos	A+	2×	38/53	  GET
 Bloodasp01	A+	2×	46/53	  GET
 Emory	A+	2×	42/53	  GET
 Lamaen Monkton	A+	2×	34/53	  GET
 Adam Tanouye	A+	2×	41/53	  GET
 Gilian Orphan	B+	2×	40/53	  GET
 Franco Hormazabal Labbe	B-	2×	40/53	  GET
 Alberto Bernard	A+	2×	44/53	  GET
 Frawst	A+	2×	47/53	  GET
 J B	A+	5×	53/53	  GET
 Kari Junco	A+	1×	40/53	  GET
 Caesar Nascimento	A-	1×	42/53	  GET
 Shyyyvee	A+	1×	42/53	  GET
 Nicki Hoffman	A+	1×	42/53	  GET
 Maridan Valor	A+	1×	39/53	  GET
 Aaron Young	A+	1×	43/53	  GET
 Cboy0512	C-	1×	37/53	  GET
 Jason Rogers	A+	1×	40/53	  GET
 Byron Lim	A+	1×	41/53	  GET
 tteokbokki	A+	1×	46/53	  GET
 Apollo00063	A+	1×	43/53	  GET
 Andreia Ferreira	A+	1×	49/53	  GET
 Jessica Seargeant	A+	1×	38/53	  GET
 Kaizla Wheaton	A+	1×	49/53	  GET
 Jennifer Shtefan	A+	1×	39/53	  GET
 Serenity Lee	A+	1×	48/53	  GET
 Gabrielle G	A+	1×	23/53	  GET
 Wren Wildfire	A+	1×	38/53	  GET
 Marc Antoine	A+	1×	47/53	  GET
 Dragon Mist	A+	1×	35/53	  GET
 Qazyn	A+	1×	48/53	  GET
 Lastemperor	A+	1×	43/53	  GET
 Neonmobster_11955	A+	1×	38/53	  GET
 Peleg2408	B-	1×	26/53	  GET
 Layton	A+	1×	43/53	  GET
 Valenthong	C+	1×	12/53	  GET
 Sipher Machlan	A+	1×	45/53	  GET
 Anna Trader	A+	1×	14/53	  GET
 David Poulton	A+	1×	48/53	  GET
 Kathleen Cosgrove	A+	1×	38/53	  GET
 Jan Co	A+	1×	37/53	  GET
 Cherry Elias	A+	1×	29/53	  GET
 Carolyn Klassen	A+	1×	34/53	  GET
 Brian Kalish Jr.	A+	1×	37/53	  GET
 Drkjedeyes	A+	1×	33/53	  GET
 Enfuegopies Cyugy	A+	1×	39/53	  GET
 Josh.gilbert312	C	1×	7/53	  GET
 David Duncan	A+	1×	43/53	  GET
 Dains	A+	1×	36/53	  GET
 Anayame	A+	1×	41/53	  GET
 Schrodingers Box	A+	1×	42/53	  GET
 Kevin Tran	A+	1×	21/53	  GET
