Accessed on Thu Sep 15 2016 21:24:08 GMT-0700 (PDT)
 
×

63 Owners Of Persuasion
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"GUTENBERG 100 - SERIES TWO"
COMPLETION
 Yodanick	B	2×	14/20	  GET
 Stewartnascar14	A+	4×	14/20	  GET
 Christopher Sampson	A+	2×	15/20	  GET
 Yeleste	A+	3×	17/20	  GET
 Cassandra Sobek	A+	3×	16/20	  GET
 Chewbacca68	A+	2×	17/20	  GET
 Hane Renard	A+	5×	15/20	  GET
 Inky Seawatir	A-	2×	14/20	  GET
 cm77	A+	4×	16/20	  GET
 Wax_packs	A+	2×	17/20	  GET
 Jon D	A+	3×	11/20	  GET
 Vittoriafranceschi96	A+	3×	16/20	  GET
 Ellie Kerr	A+	2×	14/20	  GET
 Peter Taylor	A+	2×	11/20	  GET
 zodalx	A+	5×	17/20	  GET
 Jamie Sampson	A+	2×	11/20	  GET
 Leandro Embom	A+	5×	15/20	  GET
 Luciano Franceschi	A+	2×	19/20	  GET
 Phyno.papel	A+	3×	11/20	  GET
 Rick Sanchez	A+	2×	13/20	  GET
 Bianca.franceschi	A+	3×	14/20	  GET
 Svt	A+	5×	13/20	  GET
 B B	A+	4×	15/20	  GET
 Arthur Cua	A+	6×	16/20	  GET
 Ddixon68	A+	2×	16/20	  GET
 K Kerr	A+	4×	18/20	  GET
 Selnari	A+	2×	14/20	  GET
 Kim_s_walker	A+	4×	16/20	  GET
 Floydfan33	A+	3×	17/20	  GET
 Lina	A+	3×	16/20	  GET
 Bill Yeung	A	2×	13/20	  GET
 Lenticular	A+	8×	18/20	  GET
 Ilgaj	A+	9×	19/20	  GET
 Dogmom	A+	2×	14/20	  GET
 Samantha Long	A+	1×	1/20	  GET
 Tony Bolony	A+	1×	9/20	  GET
 Claude Goeminne	A+	1×	10/20	  GET
 Dan Moyer	A+	1×	13/20	  GET
 Tink	A-	1×	9/20	  GET
 Nuri Abdur-Rauf	A+	1×	11/20	  GET
 Infamous_shadow8452	A+	1×	9/20	  GET
 G	A+	1×	5/20	  GET
 Hungry Druid	A+	1×	14/20	  GET
 Courtney	A+	1×	3/20	  GET
 Teatags	A+	1×	15/20	  GET
 Esmi	A+	1×	18/20	  GET
 Mschromatic	A+	1×	11/20	  GET
 Melanie Rae	A+	1×	2/20	  GET
 aprilgoo	A+	1×	11/20	  GET
 Bluehawaii	A+	1×	15/20	  GET
 Julie McCaslin	A	1×	2/20	  GET
 Zachary Nicoll	A+	1×	3/20	  GET
 Wumbo Boodoodoodoo	A+	1×	15/20	  GET
 Shyyyvee	A+	1×	13/20	  GET
 Hawkspurs	A+	1×	14/20	  GET
 Claudia	A+	1×	13/20	  GET
 No0126	A+	1×	4/20	  GET
 Ben Williams	A+	1×	13/20	  GET
 Ed Stych	A+	1×	14/20	  GET
 sarabellum - going to give it one more try... : |	A+	1×	2/20	  GET
 Erica	A+	1×	2/20	  GET
 NamTec	B+	1×	2/20	  GET
 Goldenace	A+	1×	2/20	  GET
