Accessed on Thu Sep 15 2016 21:24:58 GMT-0700 (PDT)
 
×

69 Owners Of Utopia
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"GUTENBERG 100 - SERIES TWO"
COMPLETION
 Inky Seawatir	A-	2×	14/20	  GET
 Wax_packs	A+	6×	17/20	  GET
 Teatags	A+	2×	15/20	  GET
 Floydfan33	A+	3×	17/20	  GET
 Lenticular	A+	2×	18/20	  GET
 Madalina Aldea	A+	2×	1/20	  GET
 cm77	A+	4×	16/20	  GET
 Ilgaj	A+	8×	19/20	  GET
 Cassandra Sobek	A+	5×	16/20	  GET
 aprilgoo	A+	2×	11/20	  GET
 zodalx	A+	5×	17/20	  GET
 Ddixon68	A+	2×	16/20	  GET
 Kim_s_walker	A+	2×	16/20	  GET
 Claude Goeminne	A+	2×	10/20	  GET
 Stewartnascar14	A+	2×	14/20	  GET
 K Kerr	A+	5×	18/20	  GET
 Dogmom	A+	3×	14/20	  GET
 Darkcvc	A+	3×	12/20	  GET
 Arthur Cua	A+	2×	16/20	  GET
 Mattias Grendelson	A+	2×	13/20	  GET
 Chewbacca68	A+	4×	17/20	  GET
 Wumbo Boodoodoodoo	A+	3×	15/20	  GET
 Hawkspurs	A+	3×	14/20	  GET
 Luciano Franceschi	A+	7×	19/20	  GET
 Hane Renard	A+	6×	15/20	  GET
 Esmi	A+	2×	18/20	  GET
 Lina	A+	3×	16/20	  GET
 Ed Stych	A+	2×	14/20	  GET
 poita78	A+	2×	13/20	  GET
 Shyyyvee	A+	2×	13/20	  GET
 Christopher Sampson	A+	5×	15/20	  GET
 B B	A+	5×	15/20	  GET
 Vittoriafranceschi96	A+	3×	16/20	  GET
 Selnari	A+	2×	14/20	  GET
 Bluehawaii	A+	3×	15/20	  GET
 Ellie Kerr	A+	3×	14/20	  GET
 Dan Moyer	A+	5×	13/20	  GET
 Jamie Sampson	A+	2×	11/20	  GET
 Evermore	A+	2×	3/20	  GET
 Infamous_shadow8452	A+	1×	9/20	  GET
 Setep AnkhAtum	F	1×	6/20	  GET
 Narcea2	A+	1×	2/20	  GET
 Jon D	A+	1×	11/20	  GET
 Bill Yeung	A	1×	13/20	  GET
 Rick Sanchez	A+	1×	13/20	  GET
 Ben Williams	A+	1×	13/20	  GET
 Tini	A+	1×	2/20	  GET
 Hungry Druid	A+	1×	14/20	  GET
 Peter Taylor	A+	1×	11/20	  GET
 Bianca.franceschi	A+	1×	14/20	  GET
 Reckless Rodian	A+	1×	7/20	  GET
 Bloodysuki	A+	1×	2/20	  GET
 Varactyls	A+	1×	2/20	  GET
 James Jang	A+	1×	2/20	  GET
 Megan Fernando	A+	1×	2/20	  GET
 Aria DuFreak	A+	1×	2/20	  GET
 Matthew Tso	A+	1×	3/20	  GET
 Mschromatic	A+	1×	11/20	  GET
 Leandro Embom	A+	1×	15/20	  GET
 Nick Sampson	B+	1×	6/20	  GET
 Sync Atk - Trade me!	A+	1×	2/20	  GET
 K2T C.	A+	1×	1/20	  GET
 Yeleste	A+	1×	17/20	  GET
 Julie Sampson	C+	1×	10/20	  GET
 Contatto	A+	1×	9/20	  GET
 Kathryn Geier	A	1×	2/20	  GET
 Zachary Nicoll	A+	1×	3/20	  GET
 G	A+	1×	5/20	  GET
 Thunder Bolt	A+	1×	2/20	  GET
