Accessed on Thu Oct 06 2016 10:23:19 GMT-0700 (PDT)
 
×

29 Owners Of Furicano
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"MONSTERS OF THE FANTASY REALM"
COMPLETION
 Bobit_rex	A-	2×	26/64	  GET
 Milan Dionisio Pires	A+	2×	50/64	  GET
 Anne Spijkstra	B	2×	24/64	  GET
 Allahusnackbar	A+	2×	44/64	  GET
 Dario	B	3×	30/64	  GET
 Blank RobinHood	A+	2×	33/64	  GET
 Seafaeries	A+	2×	31/64	  GET
 Dazai Osamu	A+	1×	2/64	  GET
 Redpanda109	A+	1×	40/64	  GET
 Sam Smith	A	1×	9/64	  GET
 DeltaPeng	A+	1×	33/64	  GET
 Powerthegreat	A+	1×	39/64	  GET
 Danny D	A+	1×	41/64	  GET
 Joey Valko	A+	1×	48/64	  GET
 Eodragon	A+	1×	39/64	  GET
 Chignugnugs	B+	1×	6/64	  GET
 Melissa Lawver	A+	1×	2/64	  GET
 Neo Man	A+	1×	31/64	  GET
 Brandon Que	A+	1×	32/64	  GET
 Kankants36	A+	1×	4/64	  GET
 Lucy Heartfilia	A+	1×	4/64	  GET
 Little Elfche	A+	1×	47/64	  GET
 Jaiie Ralen	A+	1×	18/64	  GET
 Billy Pomerleau	A+	1×	34/64	  GET
 Matthew.robert.mcnally	A+	1×	23/64	  GET
 sarabellum - going to give it one more try... : |	A+	1×	35/64	  GET
 Jens Hviid	B-	1×	2/64	  GET
 Notausername	C	1×	9/64	  GET
 Jv1000m	B	1×	22/64	  GET
