Accessed on Thu Oct 06 2016 10:15:02 GMT-0700 (PDT)
 
×

35 Owners Of Ampé #1 Fan
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"MONSTERS OF THE FANTASY REALM"
COMPLETION
 Bobit_rex	A-	3×	26/64	  GET
 Kyle Sparks	A+	4×	44/64	  GET
 Ty Nguyen	A+	2×	37/64	  GET
 Powerthegreat	A+	2×	39/64	  GET
 Allahusnackbar	A+	2×	44/64	  GET
 Blank RobinHood	A+	3×	33/64	  GET
 A-Z AlphaBetha	B+	3×	30/64	  GET
 Genrel_id	A+	2×	22/64	  GET
 Redpanda109	A+	2×	40/64	  GET
 Pepumu	A+	2×	22/64	  GET
 Danny D	A+	2×	41/64	  GET
 Simona Svetoslavova	A+	2×	22/64	  GET
 James Jang	A+	2×	16/64	  GET
 Little Elfche	A+	2×	47/64	  GET
 Katie Smith	B	1×	12/64	  GET
 Homestuck_wizzard	C+	1×	13/64	  GET
 Madalina Aldea	A	1×	2/64	  GET
 Aurasaur	B+	1×	15/64	  GET
 Yessenia Martinez	A+	1×	2/64	  GET
 Kleeko	A+	1×	4/64	  GET
 Anne Spijkstra	B	1×	24/64	  GET
 Sierra Spritzqueen	A+	1×	40/64	  GET
 Teal Newcomb	A+	1×	2/64	  GET
 Pixelatedtears	A+	1×	31/64	  GET
 Doughnutpugs	A+	1×	29/64	  GET
 Joey Valko	A+	1×	48/64	  GET
 Cassandra Sobek	A+	1×	2/64	  GET
 Neonmobster_15659	A+	1×	16/64	  GET
 Billy Pomerleau	A+	1×	34/64	  GET
 Mcmuffinman3d	B-	1×	6/64	  GET
 Eodragon	A+	1×	39/64	  GET
 Skye Leung	C+	1×	18/64	  GET
 Verywarrior011	A+	1×	2/64	  GET
 Wren Wildfire	A+	1×	20/64	  GET
 Yanga	A	1×	25/64	  GET
