Accessed on Thu Oct 06 2016 00:08:29 GMT-0700 (PDT)
 
×

131 Owners Of Sparkles
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"PIXEL WARS"
COMPLETION
 Darkslayer Castillo	B-	5×	71/75	  GET
 dank	D	3×	38/75	  GET
 Colbric	A+	3×	51/75	  GET
 Oldman Cat	A+	5×	74/75	  GET
 Andrew McReynolds	B-	5×	63/75	  GET
 Evilest McBadger	C	6×	68/75	  GET
 Kamoflaged	C+	2×	59/75	  GET
 Dan Steinmetz	A	4×	72/75	  GET
 Bunnyboy	C	3×	39/75	  GET
 Brandon	A	3×	74/75	  GET
 Bee	A+	6×	68/75	  GET
 Marcantonio Magliocca	A-	2×	54/75	  GET
 Deathmango	C	2×	6/75	  GET
 Jethro	D+	2×	40/75	  GET
 George Saggeth Jr.	A+	2×	72/75	  GET
 Gually	A+	3×	75/75	  GET
 Toendra	A+	5×	75/75	  GET
 Nicholas Cunha	C-	5×	75/75	  GET
 Winston Crosby	A+	2×	51/75	  GET
 Sergio Santiago	B+	3×	64/75	  GET
 George Saggeth Jr.	A+	2×	72/75	  GET
 Toendra	A+	5×	75/75	  GET
 Shann TwentyNine	A+	1×	12/75	  GET
 Insert name here	A+	1×	10/75	  GET
 Toadddddddddddddddd	C	1×	7/75	  GET
 Batatacasada666	F	1×	2/75	  GET
 Donavin Harris	B	1×	3/75	  GET
 Gamizard	B-	1×	32/75	  GET
 Caillou	C+	1×	10/75	  GET
 Dhodg187	A	1×	2/75	  GET
 Iven Sims	B+	1×	38/75	  GET
 Rainbowlove908	C-	1×	23/75	  GET
 Ben Handley	C	1×	4/75	  GET
 Jimmy McMeekin	D	1×	19/75	  GET
 Simplefinch	F	1×	6/75	  GET
 Yorlon creator	A-	1×	11/75	  GET
 shaheed robinson	C	1×	5/75	  GET
 Pizzadragonz	D+	1×	4/75	  GET
 Exilar	C	1×	15/75	  GET
 Gtmerciless	C-	1×	10/75	  GET
