Accessed on Thu Oct 06 2016 00:25:29 GMT-0700 (PDT)
 
×

47 Owners Of Map - Colisseum
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"PIXEL WARS"
COMPLETION
 Nicholas Cunha	C-	3×	75/75	  GET
 Haragas6	A+	4×	75/75	  GET
 Darkslayer Castillo	B-	2×	71/75	  GET
 Kim Dioven Lusaya	A+	1×	64/75	  GET
 Kingpekka2737	C	1×	2/75	  GET
 Jhoric Bea	F+	1×	6/75	  GET
 Marcus Chan	C-	1×	43/75	  GET
 Gually	A+	1×	75/75	  GET
 George Saggeth Jr.	A+	1×	72/75	  GET
 Ivan Rizwan	D	1×	6/75	  GET
 Gamizard	B-	1×	32/75	  GET
 Daniel Pope	B+	1×	29/75	  GET
 Neffets	C	1×	5/75	  GET
 Danny	B+	1×	3/75	  GET
 dank	D	1×	38/75	  GET
 She Che Rojas	C	1×	4/75	  GET
 Oldman Cat	A+	1×	74/75	  GET
 Soldier.of.death50	B-	1×	33/75	  GET
 Eric McClendon	C	1×	4/75	  GET
 Mitchellpuff4life	C	1×	2/75	  GET
 Jethro	D+	1×	40/75	  GET
 Opris Paul	D+	1×	25/75	  GET
 nordly	A+	1×	1/75	  GET
 Dan Steinmetz	A	1×	72/75	  GET
 Emilio Polanco	C-	1×	2/75	  GET
 Bee	A+	1×	68/75	  GET
 Brandon	A	1×	74/75	  GET
 Gaster	C	1×	6/75	  GET
 Im Unii	B+	1×	57/75	  GET
 Andrew Berthiaume	A+	1×	39/75	  GET
 Ray Sutyla	A+	1×	5/75	  GET
 Joe Schmidt	A	1×	2/75	  GET
 Torri Kailee	C-	1×	1/75	  GET
 Rainbowlove908	C-	1×	23/75	  GET
 Maxquartz	C	1×	11/75	  GET
 Marina Fraga Maia	C-	1×	73/75	  GET
 Toendra	A+	1×	75/75	  GET
 Princoftroy	D+	1×	28/75	  GET
 Adrian Ugali	F	1×	22/75	  GET
 Samuel Hausler	B+	1×	39/75	  GET
 Kronosthethief	B	1×	5/75	  GET
 Samantha D'Esposito	C+	1×	6/75	  GET
 Jennifer Kershey	C-	1×	24/75	  GET
 Bunnyboy	C	1×	39/75	  GET
 Kevin Tran	A+	1×	47/75	  GET
 Winston Crosby	A+	1×	51/75	  GET
 Marcos Pereira	A	1×	4/75	  GET
